,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
0,0.0019166651212789518,0.1630537903095044,0.0019166151239211368,0.0019167153541359342,0.13689451632259725,0.0019167914601084604,0.20822728682091757,0.3537865242613653,0.1303710952261709
1,0.0012355358611247983,0.22155757039903773,0.02712501677406328,0.0012355968985395635,0.22237178641864955,0.12493113462023027,0.0312693345058035,0.06438696118076467,0.30588706334178656
2,0.002137526968568685,0.18744205197516806,0.002138206788647837,0.002137933837711844,0.2425926359896042,0.27079351931974693,0.0021378960160477593,0.2884816771985497,0.0021385519059551115
3,0.0025853289768336556,0.6148423623703556,0.056136640551609274,0.04446607957294211,0.002585992414797787,0.002585535991560267,0.0025842809320144626,0.03662115024438271,0.23759262894550412
4,0.002223333587576388,0.3257719971827791,0.08371585010278339,0.002223588038147976,0.1639792195137,0.0022238322894690085,0.0022234737530594855,0.18812616292091844,0.22951254261156614
5,0.0015880197787012933,0.1514163524636206,0.0015883022074646867,0.11964317467797517,0.001588388157817716,0.0015883446379721473,0.0015879149138297605,0.4434660855458559,0.2775334176167628
6,0.001884360584763563,0.0018838601317878402,0.0018841100316185453,0.001884195947633652,0.04095787464931672,0.0018840522624311762,0.0018836616490998553,0.7203849500807016,0.22735293466264697
7,0.0015660239092245751,0.0015662236721120787,0.0015657635443570063,0.0015656516172735842,0.07269308125349225,0.06919025146801097,0.0015654804765910723,0.5274979736021714,0.322789550456767
8,0.0019500011980801307,0.0019505202226047136,0.0019501357594108137,0.001950625978940846,0.07912620620329015,0.001950630494863238,0.0019500571312375224,0.12998076820515805,0.7791910548064146
9,0.0015878029196510729,0.07498089378486646,0.001588316985016982,0.001588607588215115,0.0015878883442694458,0.0015880151511762954,0.022546424472904614,0.807808344626216,0.08672370612768404
10,0.0017102703256619387,0.0017100573911984713,0.0017122069655496057,0.0017113410206485236,0.0981152657540135,0.001711175032196118,0.0017096380809363799,0.7782184156806617,0.11340162974913374
11,0.0019504209373305231,0.058929572384500854,0.0019506367788565432,0.054587717320474835,0.0019505313372406002,0.0019503467222609686,0.0019500781244570612,0.23731880557552706,0.6394118908193516
12,0.0011958429304242588,0.29769289041764757,0.0011954160912568267,0.0011958090824563674,0.0011956374428138143,0.001195406274702462,0.0011956741163565378,0.37739605809953947,0.31773726554480275
13,0.0016346974781024143,0.09105159372351142,0.001634560473660577,0.0016348962358060683,0.001635943821425463,0.0016350657568752916,0.0016348970753921404,0.7040250760723453,0.19511326936288118
14,0.0016839095836827002,0.0016846589528542331,0.07011844833580956,0.22130232585289666,0.18613987444316787,0.0016847864302451609,0.0016842957887327063,0.3213944463413833,0.19430725427122778
15,0.0012634802521936095,0.08585669131993999,0.0012635571807690406,0.0012635288952386418,0.001263026887971523,0.0012637212479730652,0.001263248914555543,0.7697627224922842,0.13680002280907455
16,0.0019165166934978163,0.0019169346881770539,0.0019171416771268147,0.1678624465806257,0.0019167998138499085,0.0019169730997220745,0.07610124466967974,0.39884488942995333,0.3476070533473675
17,0.0015023382682155266,0.0015025309073870756,0.001502416857429568,0.0015023836670598006,0.0015023597188876506,0.001502230578542757,0.022387771092330415,0.6221925059998278,0.3464054629103195
18,0.0011458965494568426,0.03403570615401956,0.0011463122423876506,0.0011465082922012778,0.022308093932958795,0.0011461152124019316,0.001146092005764217,0.7643714424958271,0.17355383311498274
19,0.001372468873278936,0.24961621918714408,0.001372906626211467,0.0013724836319098054,0.0013724351271577734,0.0013727029913560105,0.0013727876644482682,0.4039694371491566,0.33817855874933705
20,0.001293062318408735,0.25301568256012597,0.04982943744903516,0.06596756923966056,0.0350136476063104,0.001292958896093793,0.001293344839411949,0.23794309017272408,0.3543512069182293
21,0.0012213878584606706,0.0012222299438449202,0.07650846594726289,0.0012214809185525297,0.0012215092267588595,0.044482471765154526,0.03634582545058554,0.7555370679156108,0.08223956097376932
22,0.0011952842478008502,0.3704379322899616,0.023194380507071784,0.07704959949797405,0.07367658255849747,0.0011955980695314966,0.0011954658216970734,0.11334247662746581,0.3387126803799999
23,0.000817234946084697,0.04936642233764408,0.0008173116480373502,0.11974536703731957,0.013282080163388325,0.14100541219759755,0.0008172567975507873,0.1931299296645313,0.4810189852078463
24,0.0015882605266158453,0.20367517853214215,0.001588008856375191,0.0015881690528816892,0.04092389919530096,0.0015885738996764156,0.12857790169730174,0.541807214804391,0.07866279343531504
25,0.0014256564445733145,0.05505833868806651,0.0014252180284104168,0.0014251534436690028,0.04078943419753872,0.0014251377375084982,0.03393262813546493,0.511076893528816,0.35344153979595255
